epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2229.04,0.92711,0.45875,0.00684,0.96103,0.95321,0.97582,0.73393,0.98009,0.31281,0.00722,0.0011882,0.0011882,0.0011882
43,2279.73,0.91716,0.46323,0.00677,0.95889,0.96135,0.97006,0.73964,0.981,0.3198,0.00714,0.0011684,0.0011684,0.0011684
44,2331.26,0.88405,0.43702,0.00652,0.92409,0.96618,0.96917,0.7431,0.97068,0.32146,0.00695,0.0011486,0.0011486,0.0011486
45,2382.95,0.88811,0.43374,0.00657,0.92226,0.9743,0.98081,0.74774,0.97551,0.30795,0.00677,0.0011288,0.0011288,0.0011288
46,2434.9,0.89418,0.4456,0.00654,0.94741,0.96618,0.97339,0.73878,0.94583,0.30758,0.0068,0.001109,0.001109,0.001109
47,2489.24,0.8729,0.43376,0.00621,0.97511,0.96618,0.97823,0.75193,0.97179,0.28859,0.00691,0.0010892,0.0010892,0.0010892
48,2542.63,0.84986,0.41062,0.00637,0.94765,0.96187,0.97929,0.75319,0.9791,0.31359,0.00711,0.0010694,0.0010694,0.0010694
49,2593.3,0.88982,0.44128,0.00656,0.95976,0.94686,0.98161,0.75075,0.9482,0.30429,0.00673,0.0010496,0.0010496,0.0010496
50,2645.13,0.87395,0.43269,0.00613,0.96621,0.96698,0.97391,0.75422,0.94576,0.30159,0.00678,0.0010298,0.0010298,0.0010298
51,2696.88,0.8651,0.40748,0.0063,0.95666,0.9596,0.97684,0.73813,0.98497,0.3399,0.00703,0.00101,0.00101,0.00101
52,2748.41,0.83483,0.40207,0.00609,0.9559,0.96135,0.98278,0.7652,0.94011,0.29489,0.00666,0.0009902,0.0009902,0.0009902
53,2801.06,0.86272,0.41887,0.00619,0.97074,0.96153,0.97132,0.74977,0.95552,0.29752,0.00701,0.0009704,0.0009704,0.0009704
54,2854.8,0.82787,0.40282,0.0062,0.97547,0.96072,0.97658,0.75708,0.94447,0.31203,0.00676,0.0009506,0.0009506,0.0009506
55,2906.74,0.81301,0.39967,0.00575,0.97959,0.96618,0.98384,0.76091,0.92432,0.28714,0.00645,0.0009308,0.0009308,0.0009308
56,2958.7,0.80531,0.39097,0.00592,0.96075,0.94592,0.97467,0.74844,0.93693,0.30938,0.00658,0.000911,0.000911,0.000911
57,3010.39,0.8099,0.3989,0.00592,0.96564,0.96135,0.98085,0.75311,0.93769,0.29037,0.00657,0.0008912,0.0008912,0.0008912
58,3066.22,0.7971,0.39411,0.0057,0.96806,0.96135,0.98119,0.76026,0.94015,0.29525,0.00662,0.0008714,0.0008714,0.0008714
59,3118.1,0.78587,0.38842,0.00569,0.97692,0.97101,0.98447,0.75723,0.93341,0.26378,0.00659,0.0008516,0.0008516,0.0008516
60,3172.43,0.79049,0.35518,0.0059,0.98522,0.97101,0.97965,0.75307,0.92902,0.27448,0.00658,0.0008318,0.0008318,0.0008318
61,3225.52,0.80304,0.38222,0.00577,0.98016,0.95471,0.97674,0.76737,0.90588,0.29194,0.0061,0.000812,0.000812,0.000812
62,3280.89,0.75235,0.35091,0.00531,0.97063,0.95798,0.97959,0.75914,0.92466,0.29321,0.00632,0.0007922,0.0007922,0.0007922
63,3332.4,0.77837,0.37078,0.00566,0.98076,0.96135,0.98141,0.76416,0.9155,0.28245,0.00629,0.0007724,0.0007724,0.0007724
64,3387.06,0.7637,0.36657,0.00547,0.97544,0.95933,0.97831,0.76796,0.90669,0.28502,0.00617,0.0007526,0.0007526,0.0007526
65,3441.61,0.73594,0.3531,0.00522,0.95138,0.96135,0.97706,0.75943,0.9072,0.32035,0.00608,0.0007328,0.0007328,0.0007328
66,3493.4,0.75722,0.36435,0.00525,0.98006,0.96618,0.9754,0.76185,0.91814,0.28731,0.00631,0.000713,0.000713,0.000713
67,3549,0.74544,0.36047,0.00522,0.98476,0.97101,0.98038,0.78456,0.90619,0.25625,0.00619,0.0006932,0.0006932,0.0006932
68,3601.15,0.73364,0.33851,0.00526,0.97504,0.97585,0.98043,0.78528,0.87756,0.26161,0.00606,0.0006734,0.0006734,0.0006734
69,3656.15,0.73755,0.3554,0.0052,0.97769,0.97101,0.98026,0.78057,0.89916,0.2903,0.0062,0.0006536,0.0006536,0.0006536
70,3707.96,0.73048,0.33577,0.00514,0.97481,0.97101,0.98217,0.77298,0.89762,0.2611,0.00607,0.0006338,0.0006338,0.0006338
71,3759.58,0.73501,0.32425,0.00491,0.9755,0.96186,0.97775,0.76659,0.89313,0.27683,0.00606,0.000614,0.000614,0.000614
72,3812.67,0.72435,0.34002,0.00507,0.9827,0.95169,0.97969,0.78135,0.89601,0.28999,0.00616,0.0005942,0.0005942,0.0005942
73,3865.35,0.71451,0.32844,0.00495,0.97555,0.96394,0.97816,0.77301,0.91311,0.29925,0.00628,0.0005744,0.0005744,0.0005744
74,3917.57,0.70077,0.32544,0.0048,0.98048,0.97052,0.98248,0.7794,0.90866,0.2654,0.00638,0.0005546,0.0005546,0.0005546
75,3971.37,0.71119,0.34265,0.00498,0.98383,0.95652,0.98256,0.78053,0.89774,0.2813,0.00621,0.0005348,0.0005348,0.0005348
76,4025.07,0.69391,0.32084,0.00499,0.97539,0.95746,0.97846,0.7826,0.90626,0.28615,0.00626,0.000515,0.000515,0.000515
77,4080.78,0.67673,0.32099,0.00463,0.98498,0.95013,0.97647,0.76519,0.89442,0.2936,0.00606,0.0004952,0.0004952,0.0004952
78,4135.02,0.70142,0.31908,0.0047,0.9891,0.96135,0.98125,0.78009,0.88495,0.26518,0.00595,0.0004754,0.0004754,0.0004754
79,4188.42,0.66715,0.30915,0.00455,0.97064,0.95822,0.9774,0.77693,0.88402,0.28212,0.00599,0.0004556,0.0004556,0.0004556
80,4241.38,0.66023,0.3129,0.00461,0.98929,0.9372,0.98172,0.77701,0.88645,0.29476,0.00605,0.0004358,0.0004358,0.0004358
81,4292.95,0.65121,0.30699,0.00444,0.97508,0.95652,0.98217,0.78214,0.87411,0.28768,0.0057,0.000416,0.000416,0.000416
82,4350.4,0.64737,0.3082,0.00446,0.97716,0.95169,0.97839,0.78394,0.87325,0.28603,0.00579,0.0003962,0.0003962,0.0003962
83,4402.32,0.6624,0.30073,0.00449,0.97095,0.96889,0.97907,0.78182,0.88065,0.27605,0.00593,0.0003764,0.0003764,0.0003764
84,4454.71,0.63931,0.29735,0.00438,0.98175,0.94686,0.97831,0.77118,0.9023,0.28338,0.00598,0.0003566,0.0003566,0.0003566
85,4509.08,0.63773,0.30224,0.00431,0.98411,0.96135,0.97909,0.78347,0.86469,0.30164,0.00578,0.0003368,0.0003368,0.0003368
86,4562.18,0.63239,0.29887,0.00432,0.98824,0.97101,0.97892,0.78839,0.88012,0.28619,0.00578,0.000317,0.000317,0.000317
87,4616.97,0.62803,0.30109,0.00422,0.97448,0.97101,0.97873,0.78746,0.8766,0.2707,0.00584,0.0002972,0.0002972,0.0002972
88,4671.63,0.63385,0.29599,0.00433,0.98499,0.95104,0.97841,0.77192,0.88093,0.2694,0.00589,0.0002774,0.0002774,0.0002774
89,4724.84,0.61324,0.28815,0.0043,0.96966,0.97585,0.9827,0.78569,0.87022,0.25936,0.00577,0.0002576,0.0002576,0.0002576
90,4779,0.61867,0.28486,0.00413,0.9618,0.97294,0.97928,0.78794,0.86726,0.29155,0.00574,0.0002378,0.0002378,0.0002378
91,4834.43,0.52029,0.17747,0.00404,0.97893,0.96135,0.98165,0.7777,0.86846,0.27347,0.00574,0.000218,0.000218,0.000218
92,4891.76,0.49945,0.16598,0.00397,0.99009,0.9651,0.98332,0.77582,0.87082,0.27049,0.0059,0.0001982,0.0001982,0.0001982
93,4941.09,0.49972,0.16643,0.00397,0.98522,0.96604,0.98331,0.7869,0.8644,0.26149,0.00569,0.0001784,0.0001784,0.0001784
94,4994.91,0.49937,0.17124,0.0039,0.98825,0.96135,0.98209,0.78395,0.86915,0.26945,0.00575,0.0001586,0.0001586,0.0001586
95,5048.06,0.49397,0.16856,0.00382,0.96173,0.97585,0.98387,0.78735,0.86444,0.28032,0.00573,0.0001388,0.0001388,0.0001388
96,5102.19,0.48482,0.16161,0.00375,0.97583,0.97585,0.98352,0.78908,0.8644,0.26151,0.00573,0.000119,0.000119,0.000119
